|Station|Date|Min_temp|Max_temp|Rainfall|Dir_max_wind_gust|Speed_max_wind_gust|Time_max_wind_gust|temp_9am|hum_9am|cloud_9am|wind_dir_9am|wind_speed_9am|press_9am|temp_3pm|hum_3pm|cloud_3pm|wind_dir_3pm|wind_speed_3pm|press_3pm|Month
70|CAN|10-07-2015|-0.5|9.9|2.6|6|35.0|11:17|4.4|99.0|8.0|5|38|1023.4|9.5|84.0|7.0|8|17|1019.2|7
115|MAL|24-08-2015|8.5|14.5|0.0|10|44.0|16:14|10.6|70.0|6.0|11|5|1023.7|13.5|69.0|5.57425742574|9|15|1020.9|8
176|MAL|24-10-2015|9.2|19.5|0.0|8|28.0|13:04|14.3|70.0|6.0|0|40|1023.0|18.1|60.0|5.57425742574|12|13|1020.2|10
97|QUN|06-08-2015|10.5|23.0|0.0|12|37.0|22:20|14.0|42.0|6.0|9|8|1020.1|21.7|28.0|5.57425742574|5|11.0|1015.7|8
202|QUN|19-11-2015|20.2|29.6|0.0|1|30.0|9:29|27.1|53.0|6.0|1|6|1018.5|27.5|54.0|5.57425742574|2|19.0|1015.3|11
47|MAL|17-06-2015|11.7|13.8|0.0|10|30.0|18:22|12.7|91.0|6.0|9|23|1013.6|13.4|88.0|5.57425742574|12|7|1012.5|6
183|QUN|31-10-2015|20.0|28.8|0.8|0|39.0|13:57|27.0|55.0|6.0|1|10|1021.3|25.4|62.0|5.57425742574|1|28.0|1018.3|10
164|QUN|12-10-2015|17.8|29.1|0.0|4|31.0|14:12|26.3|52.0|6.0|2|6|1023.8|25.7|50.0|5.57425742574|5|19.0|1019.1|10
195|QUN|12-11-2015|19.5|30.7|0.0|0|35.0|20:21|27.4|58.0|6.0|3|9|1019.0|28.0|61.0|5.57425742574|2|20.0|1015.6|11
47|CAN|17-06-2015|10.3|12.8|23.0|-1|37.8098693759||11.2|99.0|6.0|13|38|1012.8|12.8|87.0|8.0|8|13|1010.2|6
8|QUN|09-05-2015|15.8|26.9|0.0|12|30.0|5:49|19.3|49.0|6.0|16|38|1018.7|26.1|45.0|5.57425742574|5|9.0|1015.5|5
